Temperatura,Humedad,Viento,Sensación Térmica
30,60,15,32
25,70,10,27
20,50,5,20
35,80,20,40
15,90,5,15
10,40,25,7
28,50,10,30
22,85,15,25
5,30,20,1
32,70,12,35
18,65,8,19
27,55,13,29
14,75,10,16
23,60,5,24
12,50,18,10
33,65,14,35
19,80,5,21
24,45,20,22
28,55,18,29
10,75,15,9
8,30,10,6
36,60,12,39
21,50,8,21
17,85,20,17
14,40,25,11
27,65,10,30
5,60,15,3
29,75,5,32
16,55,10,16
11,45,22,8
31,50,13,32
22,70,10,24
9,40,30,4
30,80,12,35
15,35,18,13
12,65,5,13
34,60,16,37
20,90,7,23
13,55,20,10
26,50,15,27
18,75,10,20
7,40,8,6
32,55,12,34
14,85,15,15
23,60,10,25
