Distancia (km),Número de artículos,Hora del día,Condiciones del tráfico,Tiempo estimado de entrega (minutos)
5,3,14,3,45.0
10,5,9,4,72.5
3,2,18,2,39.0
7,4,12,5,81.0
2,1,8,1,20.0
12,6,20,3,92.0
4,3,6,2,32.5
8,7,15,4,81.5
6,2,22,5,74.0
9,5,17,1,61.5
11,8,10,3,86.0
2,4,21,2,41.0
5,3,13,4,56.5
7,2,11,3,48.5
3,6,5,1,29.5
6,4,8,3,49.0
11,2,13,2,61.0
3,7,19,5,74.5
9,1,21,4,75.5
7,3,12,1,46.5
5,5,7,2,45.0
8,2,23,3,69.5
12,6,15,5,110.5
4,4,10,2,39.0
10,1,16,3,69.5
2,3,18,4,43.5
14,5,11,3,84.5
13,8,22,1,80.0
6,2,17,4,55.5
7,5,14,2,63.5
3,1,20,3,41.5
9,6,5,5,85.5
11,3,9,4,77.5
5,7,13,3,66.5
4,2,21,2,44.0
10,4,6,1,58.0
8,3,12,4,70.0
14,6,7,5,101.0
2,5,15,3,42.5
13,1,17,2,61.5
6,8,23,3,73.0
7,4,19,1,52.5
5,2,11,5,51.0
10,7,20,3,83.5
3,5,18,4,57.5
11,6,16,2,78.0
9,3,14,1,55.5
8,1,10,4,57.0
14,4,22,5,105.0
6,3,8,2,47.5
12,5,13,3,83.5
4,6,7,4,58.0
13,2,18,3,71.5
7,8,15,1,62.0
2,4,21,5,43.5
9,5,9,2,62.5
5,3,5,3,39.5
8,7,19,4,83.5
10,2,17,5,84.5
3,4,14,3,49.0
11,1,12,2,60.0
6,5,23,4,71.5
13,3,16,1,65.5
7,6,20,3,66.5
12,8,18,2,92.0
4,1,7,5,39.5
8,2,13,3,52.5
14,7,15,4,102.5
5,4,11,2,44.0
9,8,6,1,64.0
3,2,10,4,36.5
10,5,22,3,85.5
6,7,17,5,85.5
2,1,14,2,23.0
14,5,8,3,85.5
12,6,12,4,91.0
4,3,20,2,44.0
5,8,5,1,47.0
9,4,7,5,76.0
11,7,13,3,90.5
3,6,15,2,46.0
7,2,18,4,60.0
8,5,16,3,71.5
13,4,19,1,70.5
6,1,21,2,35.5
10,8,17,5,98.0
2,7,11,3,41.5
12,2,9,4,78.5
14,3,22,5,109.5
4,5,8,1,38.5
13,7,14,3,89.5
